Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Птица
Имя игрока: Игрок, Счет: 27, Сложность: Сложно, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Сложно, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Сложно, Персонаж: Птица
Имя игрока: Игрок, Счет: 2, Сложность: Сложно, Персонаж: Птица
Имя игрока: Игрок, Счет: 4, Сложность: Средне, Персонаж: Птица
Имя игрока: Игрок, Счет: 2, Сложность: Средне, Персонаж: Птица
Имя игрока: Игрок, Счет: 3, Сложность: Сложно, Персонаж: Пчела
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Пчела
Имя игрока: Игрок, Счет: 3, Сложность: Средне, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Пчела
Имя игрока: Игрок, Счет: 1, Сложность: Средне, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Средне, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 1, Сложность: Легко, Персонаж: Птица
Имя игрока: Игрок, Счет: 2, Сложность: Сложно, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 2, Сложность: Сложно, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 0, Сложность: Средне, Персонаж: Пчела
Имя игрока: Игрок, Счет: 24, Сложность: Сложно, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 0, Сложность: Сложно, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 0, Сложность: Сложно, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 8, Сложность: Сложно, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 5, Сложность: Сложно, Персонаж: Птица
Имя игрока: Игрок, Счет: 7, Сложность: Сложно, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 1, Сложность: Сложно, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 13, Сложность: Сложно, Персонаж: Птица
Имя игрока: Игрок, Счет: 3, Сложность: Сложно, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 1, Сложность: Сложно, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 0, Сложность: Сложно, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 1, Сложность: Сложно, Персонаж: Пчела
Имя игрока: Игрок, Счет: 8, Сложность: Средне, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 16, Сложность: Сложно, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 2, Сложность: Легко, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Пчела
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Пчела
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Пчела
Имя игрока: Игрок, Счет: 0, Сложность: Средне, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Средне, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Средне, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Средне, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 1, Сложность: Сложно, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 1, Сложность: Средне, Персонаж: Птица
Имя игрока: Игрок, Счет: 3, Сложность: Сложно, Персонаж: Пчела
Имя игрока: Игрок, Счет: 3, Сложность: Сложно, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 6, Сложность: Сложно, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 0, Сложность: Сложно, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 0, Сложность: Сложно, Персонаж: Птица
